ano,codigo_orgao,orgao_orcamentario,co_funcao,funcao,projeto_de_lei,dotacao_inicial,dotacao_atual,empenhado,liquidado,pago
2018,26000,Ministério da Educação,28,Encargos Especiais,0.5,0.5,0.49,0.48,0.48,0.47
2018,26000,Ministério da Educação,99,Reserva de Contingência,0.99,0.99,0.13,0,0,0
2018,28000,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",09,Previdência Social,0.21,0.21,0.23,0.23,0.23,0.21
2018,28000,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",22,Indústria,1.48,1.47,1.45,1.41,1.35,1.31
2018,28000,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",23,Comércio e Serviços,0.12,0.12,0.11,0.1,0.07,0.07
2018,28000,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",28,Encargos Especiais,0.59,0.59,0.58,0.58,0.58,0.58
2018,28000,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",99,Reserva de Contingência,0.45,0.45,0.42,0,0,0
2018,29000,Defensoria Pública da União,03,Essencial à Justiça,0.58,0.58,0.58,0.58,0.53,0.52
2018,29000,Defensoria Pública da União,09,Previdência Social,0.02,0.02,0.02,0.02,0.02,0.02
2018,29000,Defensoria Pública da União,99,Reserva de Contingência,0.01,0.01,0,0,0,0
2018,30000,Ministério da Justiça e Segurança Pública,03,Essencial à Justiça,0.01,0.01,0,0,0,0
2018,30000,Ministério da Justiça e Segurança Pública,04,Administração,0.24,0.22,0.23,0.22,0.18,0.17
2018,30000,Ministério da Justiça e Segurança Pública,06,Segurança Pública,9.14,9.62,9.78,9.44,8.06,7.63
2018,30000,Ministério da Justiça e Segurança Pública,09,Previdência Social,3.71,3.71,4.06,4.05,4.05,3.78
2018,30000,Ministério da Justiça e Segurança Pública,13,Cultura,0,0,0,0,0,0
2018,30000,Ministério da Justiça e Segurança Pública,14,Direitos da Cidadania,1.15,1.22,1.64,1.11,0.69,0.67
2018,30000,Ministério da Justiça e Segurança Pública,28,Encargos Especiais,0.09,0.09,0.09,0.08,0.08,0.07
2018,30000,Ministério da Justiça e Segurança Pública,99,Reserva de Contingência,0.95,0.95,0.94,0,0,0
2018,30211,Conselho Administrativo de Defesa Econômica,09,Previdência Social,0,0,0,0,0,0
2018,30211,Conselho Administrativo de Defesa Econômica,14,Direitos da Cidadania,0.03,0.05,0.06,0.06,0.04,0.04
2018,30211,Conselho Administrativo de Defesa Econômica,99,Reserva de Contingência,0.01,0.01,0.01,0,0,0
2018,32000,Ministério de Minas e Energia,04,Administração,0,0,0,0,0,0
2018,32000,Ministério de Minas e Energia,09,Previdência Social,0.1,0.1,0.1,0.1,0.1,0.09
2018,32000,Ministério de Minas e Energia,18,Gestão Ambiental,0.04,0.04,0.02,0.01,0,0
2018,32000,Ministério de Minas e Energia,22,Indústria,0.52,0.52,0.54,0.54,0.5,0.46
2018,32000,Ministério de Minas e Energia,25,Energia,0.43,0.42,0.42,0.39,0.35,0.34
2018,32000,Ministério de Minas e Energia,28,Encargos Especiais,0,0,0.01,0.01,0.01,0.01
2018,32000,Ministério de Minas e Energia,99,Reserva de Contingência,0.55,0.55,0.55,0,0,0
2018,32265,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",09,Previdência Social,0.01,0.01,0.01,0.01,0.01,0.01
2018,32265,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",25,Energia,0.48,0.47,0.44,0.4,0.35,0.34
2018,32265,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",28,Encargos Especiais,0,0,9.5,9.5,4.82,4.82
2018,32265,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",99,Reserva de Contingência,1.48,1.48,1.48,0,0,0
2018,32266,Agência Nacional de Energia Elétrica,09,Previdência Social,0,0,0,0,0,0
2018,32266,Agência Nacional de Energia Elétrica,25,Energia,1.3,1.3,1.23,1.21,1.15,1.14
2018,32266,Agência Nacional de Energia Elétrica,28,Encargos Especiais,0,0,0,0,0,0
2018,32266,Agência Nacional de Energia Elétrica,99,Reserva de Contingência,1.17,1.17,0.24,0,0,0
2018,32396,Agência Nacional de Mineração,09,Previdência Social,0.05,0.05,0.05,0.05,0.05,0.05
2018,32396,Agência Nacional de Mineração,22,Indústria,0.3,0.3,0.3,0.28,0.26,0.25
2018,32396,Agência Nacional de Mineração,28,Encargos Especiais,0,0,0,0,0,0
2018,32396,Agência Nacional de Mineração,99,Reserva de Contingência,0.63,0.63,0.55,0,0,0
2018,34000,Ministério Público da União,03,Essencial à Justiça,6.04,6.04,6.01,5.85,5.75,5.74
2018,34000,Ministério Público da União,09,Previdência Social,0.68,0.68,0.72,0.72,0.72,0.72
2018,34000,Ministério Público da União,28,Encargos Especiais,0,0,0,0,0,0
2018,34000,Ministério Público da União,99,Reserva de Contingência,0,0,0,0,0,0
2018,35000,Ministério das Relações Exteriores,07,Relações Exteriores,2.88,2.76,3.29,3.25,3.15,3.12
2018,35000,Ministério das Relações Exteriores,09,Previdência Social,0.35,0.35,0.39,0.37,0.37,0.35
2018,35000,Ministério das Relações Exteriores,28,Encargos Especiais,0,0,0,0,0,0
2018,36000,Ministério da Saúde,09,Previdência Social,8.89,8.89,9.32,9.3,9.3,8.63
2018,36000,Ministério da Saúde,10,Saúde,113.69,120.53,120.82,119.91,108.65,107.32
2018,36000,Ministério da Saúde,28,Encargos Especiais,0.17,0.17,0.17,0.16,0.16,0.16
2018,36000,Ministério da Saúde,99,Reserva de Contingência,6.58,0,0,0,0,0
2018,36212,Agência Nacional de Vigilância Sanitária,09,Previdência Social,0.11,0.11,0.14,0.14,0.14,0.13
2018,36212,Agência Nacional de Vigilância Sanitária,10,Saúde,0.75,0.75,0.7,0.66,0.61,0.58
2018,36212,Agência Nacional de Vigilância Sanitária,28,Encargos Especiais,0,0,0,0,0,0
2018,36213,Agência Nacional de Saúde Suplementar,09,Previdência Social,0,0,0.01,0.01,0.01,0
2018,36213,Agência Nacional de Saúde Suplementar,10,Saúde,0.34,0.34,0.33,0.3,0.28,0.27
2018,36213,Agência Nacional de Saúde Suplementar,28,Encargos Especiais,0,0,0,0,0,0
2018,36213,Agência Nacional de Saúde Suplementar,99,Reserva de Contingência,0.04,0.04,0.04,0,0,0
2018,37000,Controladoria-Geral da União,04,Administração,0.87,0.86,0.88,0.86,0.82,0.77
2018,37000,Controladoria-Geral da União,09,Previdência Social,0.17,0.17,0.2,0.2,0.2,0.19
2018,39000,Ministério dos Transportes,09,Previdência Social,3.25,3.25,3.2,3.19,3.19,2.97
2018,39000,Ministério dos Transportes,26,Transporte,9.84,11.8,10.66,10.45,7.12,7.01
2018,39000,Ministério dos Transportes,28,Encargos Especiais,1.39,1.39,1.36,1.26,1.17,1.17
2018,39000,Ministério dos Transportes,99,Reserva de Contingência,4.12,4.12,3.09,0,0,0
2018,39250,Agência Nacional de Transportes Terrestres,09,Previdência Social,0.01,0.01,0.02,0.02,0.02,0.01
2018,39250,Agência Nacional de Transportes Terrestres,26,Transporte,0.73,0.73,0.64,0.63,0.49,0.46
2018,39250,Agência Nacional de Transportes Terrestres,28,Encargos Especiais,0,0,0,0,0,0
2018,39250,Agência Nacional de Transportes Terrestres,99,Reserva de Contingência,0.18,0.18,0.17,0,0,0
2018,39251,Agência Nacional de Transportes Aquaviários,09,Previdência Social,0.01,0.01,0.01,0.01,0.01,0.01
2018,39251,Agência Nacional de Transportes Aquaviários,26,Transporte,0.16,0.17,0.16,0.15,0.14,0.13
2018,39251,Agência Nacional de Transportes Aquaviários,28,Encargos Especiais,0,0,0,0,0,0
2018,39254,Agência Nacional de Aviação Civil,09,Previdência Social,0.02,0.02,0.02,0.02,0.02,0.02
2018,39254,Agência Nacional de Aviação Civil,26,Transporte,0.56,0.55,0.55,0.54,0.5,0.47
2018,39254,Agência Nacional de Aviação Civil,28,Encargos Especiais,0,0,0,0,0,0
2018,39254,Agência Nacional de Aviação Civil,99,Reserva de Contingência,0.16,0.16,0.16,0,0,0
2018,40000,Ministério do Trabalho e Emprego,04,Administração,1.73,1.73,1.61,1.57,1.53,1.43
2018,40000,Ministério do Trabalho e Emprego,09,Previdência Social,1.83,1.83,1.85,1.85,1.84,1.73
2018,40000,Ministério do Trabalho e Emprego,11,Trabalho,81.28,81.37,74.77,72.39,70.87,70.28
2018,40000,Ministério do Trabalho e Emprego,28,Encargos Especiais,5.46,5.46,5.63,5.03,5.03,5.03
2018,40000,Ministério do Trabalho e Emprego,99,Reserva de Contingência,0,0.13,0.13,0,0,0
2018,42000,Ministério da Cultura,09,Previdência Social,0.18,0.18,0.19,0.19,0.19,0.18
2018,42000,Ministério da Cultura,13,Cultura,1.66,1.75,1.82,1.75,0.9,0.86
2018,42000,Ministério da Cultura,28,Encargos Especiais,0.01,0.01,0.01,0.01,0.01,0.01
2018,42000,Ministério da Cultura,99,Reserva de Contingência,0.45,0.45,0.45,0,0,0
2018,42206,Agência Nacional do Cinema,09,Previdência Social,0,0,0,0,0,0
2018,42206,Agência Nacional do Cinema,13,Cultura,0.15,0.14,0.15,0.14,0.13,0.12
2018,44000,Ministério do Meio Ambiente e Mudança do Clima,09,Previdência Social,0.58,0.58,0.63,0.63,0.63,0.58
2018,44000,Ministério do Meio Ambiente e Mudança do Clima,18,Gestão Ambiental,2.05,2.05,1.95,1.89,1.7,1.63
2018,44000,Ministério do Meio Ambiente e Mudança do Clima,28,Encargos Especiais,0.03,0.03,0.03,0.03,0.03,0.02
2018,44000,Ministério do Meio Ambiente e Mudança do Clima,99,Reserva de Contingência,0.42,0.42,0.39,0,0,0
2018,44205,Agência Nacional de Águas e Saneamento Básico,09,Previdência Social,0,0,0,0,0,0
2018,44205,Agência Nacional de Águas e Saneamento Básico,18,Gestão Ambiental,0.41,0.41,0.38,0.37,0.33,0.32
2018,47000,Ministério do Planejamento e Orçamento,04,Administração,4.16,4.01,4.39,3.58,3.28,3.11
2018,47000,Ministério do Planejamento e Orçamento,09,Previdência Social,2.09,2.09,2.2,2.13,2.13,1.99
2018,47000,Ministério do Planejamento e Orçamento,28,Encargos Especiais,0.92,0.93,1.01,0.85,0.74,0.7
2018,47000,Ministério do Planejamento e Orçamento,99,Reserva de Contingência,0.14,0.14,0.14,0,0,0
2018,51000,Ministério do Esporte,09,Previdência Social,0,0,0,0,0,0
2018,51000,Ministério do Esporte,27,Desporto e Lazer,0.74,1.28,1.31,1.25,0.29,0.27
2018,51000,Ministério do Esporte,28,Encargos Especiais,0.07,0.06,0.07,0,0,0
